구분,,발생량및,,총계,종량제에 의한 혼합배출,,,,,,,,,,,,,,재활용가능자원 분리배출,,,,,,,,,,,,,,,,,,음식물류 폐기물
,,처리현황,,,소계,가연성,,,,,,,불연성,,,,,기타,소계,종이류,유리병류,캔류,합성,플라,발포,전자제품,전지류,타이어,윤활유,형광등,고철류,의류,영농,가구류,폐식용유,기타,분리배출
,,,,,,,,,,,,,,,,,,(배출,,,,,수지류,스틱류,수지류,,,,,,,,폐기물,,,,
시도,시군구,,,,,소계,음식물,종이류,나무류,고무,플라,기타,소계,유리류,금속류,토사류,기타,불명 등),,,,,,,,,,,,,,,,,,,
,,,,,,,채소류,,,피혁류,스틱류,,,,,,,,,,,,,,,,,,,,,,,,,,
서울,금천구,처리방법,소각,7.7,7.7,7.7,0,1.2,1,0.2,2.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,금천구,처리방법,재활용,159.5,2.9,2.9,0.1,1.3,0.1,0.1,1.1,0.2,0,0,0,0,0,0,94.2,31.9,16,7.2,8.6,11.6,0,1.1,0.1,0,0,0.7,7.2,1.6,0,5.5,0,2.7,62.4
서울,영등포구,발생량,발생량,315.8,142.1,130.6,0,118.4,3,3,3.2,3,11.5,3.5,3,4,1,0,56.2,4.5,18.1,6.2,4.1,7.7,0,0.5,0.1,0,0,0.1,4.3,0.5,0,9.8,0,0.3,117.5
서울,영등포구,처리방법,매립,36.6,36.6,33.1,0,29.1,1,1,1,1,3.5,1.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,영등포구,처리방법,소각,105.5,105.5,97.5,0,89.3,2,2,2.2,2,8,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,영등포구,처리방법,재활용,173.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.2,4.5,18.1,6.2,4.1,7.7,0,0.5,0.1,0,0,0.1,4.3,0.5,0,9.8,0,0.3,117.5
서울,동작구,발생량,발생량,298.8,90.2,90.2,0,0,0,0,0,90.2,0,0,0,0,0,0,114.8,61.9,4.6,1.6,10.6,6.9,0,0.2,0.1,0,0,0.1,11,4,0,0,0,13.8,93.8
서울,동작구,처리방법,매립,16.9,16.9,16.9,0,0,0,0,0,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,동작구,처리방법,소각,73.3,73.3,73.3,0,0,0,0,0,73.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,동작구,처리방법,재활용,208.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.8,61.9,4.6,1.6,10.6,6.9,0,0.2,0.1,0,0,0.1,11,4,0,0,0,13.8,93.8
